,x_ins,initial_prices,reached_prices,ys,final_prices,x_outs,dxs
52,22237101.499676827,0.999987372549107,0.9993347224938506,22222043.17322106,1.0005944927938832,22207834.192743152,-29267.306933672684
53,22656669.45250092,0.999987372549107,0.9993106177098082,22641159.18192906,1.000615819110232,22626529.151627753,-30140.30087316798
54,23076237.40532501,0.999987372549107,0.99928553263614,23060264.872401685,1.000637958610664,23045204.707201734,-31032.69812327778
55,23495805.3581491,0.999987372549107,0.9992594071329072,23479359.82066793,1.0006609593082971,23463860.08637176,-31945.271777340375
56,23915373.310973193,0.999987372549107,0.999232176571747,23898443.576574568,1.0006848726145259,23882494.46918439,-32878.84178880374
57,24334941.263797283,0.999987372549107,0.9992037714220097,24317515.66181519,1.000709753637714,24301106.98538496,-33834.27841232334
58,24754509.216621377,0.999987372549107,0.9991741167919669,24736575.567776155,1.0007356615126801,24719696.710663747,-34812.50595763047
59,25174077.169445466,0.999987372549107,0.9991431319194228,25155622.75317923,1.000762659764658,25138262.662555847,-35814.506889615586
60,25593645.122269556,0.999987372549107,0.9991107296052478,25574656.641498465,1.0007908167119262,25556803.79595733,-36841.326312228644
61,26013213.07509365,0.999987372549107,0.9990768155824015,25993676.618125655,1.0008202059118758,25975318.99821511,-37894.07687854333
62,26432781.02791774,0.999987372549107,0.9990412878119116,26412682.027255632,1.0008509066559566,26393807.083742976,-38973.944174762706
63,26852348.980741832,0.999987372549107,0.9990040356959836,26831672.168458562,1.0008830045197221,26812266.788109664,-40082.192632167666
64,27271916.933565922,0.999987372549107,0.9989649391969063,27250646.29290209,1.0009165919750942,27230696.76153776,-41220.17202816049
65,27691484.88639001,0.999987372549107,0.9989238678486456,27669603.599181112,1.0009517690730165,27649095.56174422,-42389.32464578855
66,28111052.839214105,0.999987372549107,0.9988806796459377,28088543.228706803,1.0009886442058937,28067461.646043472,-43591.1931706316
67,28530620.792038195,0.999987372549107,0.9988352197932306,28507464.260599863,1.0010273349606404,28485793.362623274,-44827.42941492239
68,28950188.74486229,0.999987372549107,0.9987873192929143,28926365.706024773,1.0010679690748483,28904088.940890785,-46099.803971504974
69,29369756.697686378,0.999987372549107,0.9987367933488313,29345246.501892574,1.0011106855105378,29322346.480771344,-47410.216915034805
70,29789324.650510468,0.999987372549107,0.998683439556953,29764105.503848676,1.0011556356622975,29740563.9408254,-48760.70968506639
